,trustlist_a_1,trustlist_b_1,trustlist_c_1,trustlist_a_2,trustlist_b_2,trustlist_c_2,trustlist_a,trustlist_b,trustlist_c,treat,y,female,ccpmember,urban,education,agegroup,income,life,pinterest,self_index,confucian_a,confucian_b,confucian_c,confucian_d,china,confucian_all,centraltrust_all,localtrust_all,weight_internet,college,young,high.income,high.life,high.pinterest,high.self,high.china,high.confucian_all
366,NA,NA,1,NA,NA,NA,NA,NA,1,c,1,0,0,1,5,2,6,4,3,3,2,2,2,2,4,2,3,3,0.1707994,1,1,1,1,1,1,1,0
367,NA,NA,NA,NA,NA,4,NA,NA,4,c,4,0,0,1,5,7,4,2,4,3.333333333,2,2,2,2,2,2,4,3,0.2849104,1,0,0,0,1,1,0,0
368,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,1,0,1,5,3,7,4,2,1.666666667,1,1,1,3,4,1.5,4,3,0.214487,1,1,1,1,0,0,1,0
369,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,0,0,0,5,5,5,3,2,2.333333333,2,3,4,3,4,3,4,3,0.2849104,1,0,0,0,0,0,1,1
370,NA,2,NA,NA,NA,NA,NA,2,NA,b,2,1,0,1,5,5,7,5,4,2.666666667,1,1,1,4,5,1.75,3,2,0.3577848,1,0,1,1,1,0,1,0
371,4,NA,NA,NA,NA,NA,4,NA,NA,a,4,0,0,1,2,1,4,4,3,3.666666667,2,2,3,2,4,2.25,3,3,1.794325,0,1,0,1,1,1,1,0
372,NA,NA,NA,2,NA,NA,2,NA,NA,a,2,1,0,1,6,3,7,4,3,1.666666667,1,2,1,4,4,2,4,1,0.214487,1,1,1,1,1,0,1,0
373,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,1,0,1,5,3,5,4,3,2.666666667,2,1,2,3,4,2,4,3,0.214487,1,1,0,1,1,0,1,0
374,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,1,1,1,6,3,8,5,3,3.333333333,3,3,3,3,4,3,4,4,0.100821,1,1,1,1,1,1,1,1
375,NA,NA,NA,NA,3,NA,NA,3,NA,b,3,1,0,1,6,3,6,4,3,2.333333333,2,2,2,4,4,2.5,3,3,0.214487,1,1,1,1,1,0,1,0
376,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,0,1,1,5,4,6,3,3,3.666666667,2,2,3,3,5,2.5,4,4,0.1339237,1,0,1,0,1,1,1,0
377,NA,NA,NA,3,NA,NA,3,NA,NA,a,3,1,1,1,6,4,9,5,4,4,1,3,4,4,5,3,4,4,0.1681787,1,0,1,1,1,1,1,1
378,NA,4,NA,NA,NA,NA,NA,4,NA,b,4,0,0,1,6,4,5,5,4,3.333333333,3,2,3,3,4,2.75,4,3,0.2849104,1,0,0,1,1,1,1,1
379,NA,NA,NA,NA,4,NA,NA,4,NA,b,4,0,0,1,5,4,5,4,2,2.333333333,3,2,3,3,4,2.75,4,3,0.2849104,1,0,0,1,0,0,1,1
380,NA,NA,NA,NA,2,NA,NA,2,NA,b,2,1,0,0,5,2,7,5,3,3,2,2,2,3,4,2.25,3,2,0.214487,1,1,1,1,1,1,1,0
